objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1.23767E+18,348.0889224,21.56803298,17.56954,15.64554,14.89235,14.63359,14.5082,6366,301,4,110,2.95328E+18,STAR,-6.11E-05,2623,54328,151
1.23767E+18,349.7471568,18.53768963,19.23088,17.96239,17.82065,17.78402,17.82338,6366,301,4,133,8.5648E+18,STAR,-0.0001108782,7607,56902,299
1.23767E+18,66.51820543,17.12065377,19.05087,16.49607,14.96787,13.62782,12.39726,6003,301,2,152,1.84323E+18,STAR,8.57E-05,1637,52992,492
1.23767E+18,122.3713933,43.20069541,18.82584,17.5153,17.56582,17.6348,17.662,6573,301,6,250,6.14831E+17,STAR,-0.0002362269,546,52205,325
1.23768E+18,354.438295,32.19565345,19.26509,18.22012,17.82656,17.64138,17.58769,8111,301,4,49,8.73711E+18,STAR,-0.0004241176,7760,58080,472
1.23768E+18,32.07168456,5.919206745,18.27281,17.00914,16.58095,16.38691,16.32016,7760,301,2,165,8.16965E+18,STAR,0.0004386299,7256,56658,438
1.23766E+18,169.8627813,53.58545183,19.23581,17.6679,16.74132,16.30317,15.96259,2821,301,2,143,1.1406E+18,GALAXY,0.1412286,1013,52707,217
1.23766E+18,177.892986,54.17634892,19.34375,18.07431,17.60009,17.26951,17.08463,2821,301,2,175,1.14511E+18,GALAXY,0.05188603,1017,52706,244
1.23766E+18,162.6116843,52.22326714,19.27099,18.12522,17.67884,17.37751,17.24479,2821,301,2,113,1.13719E+18,GALAXY,0.06552584,1010,52649,102
1.23767E+18,218.5622031,25.4253978,19.51559,18.07312,17.21544,16.7948,16.44413,4649,301,3,226,2.40384E+18,GALAXY,0.09375799,2135,53827,159
1.23767E+18,247.2334719,14.16324074,19.30935,19.35101,19.12874,19.0866,19.24846,4649,301,2,421,2.47941E+18,QSO,1.356175,2202,53566,637
1.23767E+18,248.3749557,13.61020144,18.75835,18.57446,18.38512,18.23563,18.22468,4649,301,2,429,2.48161E+18,QSO,1.425605,2204,53877,463
1.23767E+18,266.6218645,26.71704059,18.74441,17.24021,16.67171,16.4806,16.37055,4828,301,6,116,2.45796E+18,STAR,-0.0001243831,2183,53536,445
1.23767E+18,57.58032227,-0.5210036046,18.72355,17.67147,17.30933,16.95851,16.77576,4849,301,2,839,1.39842E+18,GALAXY,0.05383282,1242,52901,176
1.23766E+18,114.475031,47.10914284,17.5855,16.53243,16.11235,15.9404,15.86538,4264,301,4,73,1.19955E+19,STAR,-0.0006165013,10654,58429,414
1.23765E+18,177.0915621,68.0853348,18.94801,17.66593,16.99156,16.63314,16.36738,1412,301,5,149,5.54089E+17,GALAXY,0.1164714,492,51955,532
1.23767E+18,242.3613928,17.9087661,19.40234,19.14412,18.91142,18.68113,18.51703,4671,301,1,97,2.47713E+18,QSO,1.989636,2200,53875,538
1.23766E+18,251.8611023,34.88531685,19.55523,18.05228,17.34426,16.85829,16.57435,3225,301,4,278,1.32307E+18,GALAXY,0.099711,1175,52791,512
1.23766E+18,205.4305427,58.74653012,18.65519,17.21725,16.47773,16.0544,15.73592,3225,301,4,20,1.08102E+18,GALAXY,0.0831833,960,52425,558
1.23766E+18,245.4862286,41.0197941,18.68299,17.72675,17.47595,17.1918,17.17989,3225,301,4,225,1.31965E+18,GALAXY,0.07806654,1172,52759,340
1.23766E+18,254.739429,31.66135164,18.53769,16.76773,15.83042,15.28039,14.85233,3225,301,4,305,1.32408E+18,GALAXY,0.0699736,1176,52791,69
1.23768E+18,343.2896936,20.9956547,19.5335,17.72243,16.61534,16.04093,15.59381,8102,301,3,124,6.89053E+18,GALAXY,0.09641756,6120,56206,93
1.23768E+18,2.094769042,3.227528717,18.97488,18.08323,17.80844,17.7118,17.69592,7712,301,5,343,4.83807E+18,STAR,0.0004461399,4297,55806,266
1.23767E+18,52.24916852,0.7048201372,18.42028,16.50726,15.6097,15.12102,14.82103,4849,301,5,803,2.30707E+18,STAR,0.0002336378,2049,53350,377
1.23767E+18,47.3725449,0.8206205532,18.69254,17.13867,16.55555,16.34662,16.17639,4849,301,5,771,8.16863E+18,STAR,0.0001146536,7255,56597,832
1.23766E+18,197.1061995,47.53859745,18.65721,17.4115,16.96343,16.64636,16.48072,3716,301,5,93,1.64285E+18,GALAXY,0.09732842,1459,53117,600
1.23766E+18,34.07272331,-1.198723788,19.36992,18.09574,17.51668,17.11204,16.90569,4263,301,1,343,4.56013E+17,GALAXY,0.09666596,405,51816,85
1.23766E+18,343.0973946,-0.3872250516,18.61144,17.33632,16.7077,16.3588,16.06608,4192,301,3,243,4.26778E+17,GALAXY,0.04221323,379,51789,227
1.23766E+18,339.694645,-0.2340624224,19.57974,18.6183,18.24042,17.95239,17.8418,4192,301,3,220,1.16769E+18,GALAXY,0.1153969,1037,52878,493
1.23766E+18,249.1700656,22.27573554,17.42618,16.23312,15.68441,15.4577,15.31596,3927,301,4,151,1.76777E+18,STAR,-0.0002591292,1570,53149,386
1.23768E+18,11.09470508,11.90132272,19.29361,18.35319,18.02509,17.88756,17.84319,7773,301,2,383,6.98639E+18,STAR,-0.0009790374,6205,56187,658
1.23767E+18,43.71231285,35.01549725,19.20811,17.95179,17.36127,17.11378,16.98553,5934,301,4,175,8.16749E+18,STAR,0.0005359331,7254,56625,754
1.23767E+18,245.2185537,16.53206412,17.8392,16.37211,15.77146,15.53484,15.43384,4671,301,1,118,2.45109E+18,STAR,-0.0001044099,2177,54557,31
1.23766E+18,213.9924602,-2.453991725,17.92948,18.19919,18.66623,19.01955,19.31679,2379,301,3,32,4.54304E+18,STAR,7.60E-05,4035,55383,112
1.23767E+18,55.82943158,9.76439658,17.79224,16.47265,15.8497,15.59104,15.46414,6003,301,5,67,3.01636E+18,GALAXY,0,2679,54368,287
1.23767E+18,267.578978,25.42781499,18.52971,17.57927,17.29726,17.19972,17.12515,4828,301,4,125,2.458E+18,STAR,-0.0003828999,2183,53536,589
1.23766E+18,245.4181358,24.65886957,19.20109,17.34717,16.37304,15.85571,15.50103,3927,301,4,123,1.77114E+18,GALAXY,0.09358274,1573,53226,347
1.23766E+18,238.966459,28.60260661,19.10778,17.42259,16.74783,16.28059,16.1785,3927,301,4,77,1.56626E+18,GALAXY,0.07627614,1391,52817,486
1.23766E+18,238.8909743,28.75615007,18.39418,16.94941,16.20522,15.74014,15.44523,3927,301,4,76,1.56623E+18,GALAXY,0.07729715,1391,52817,377
1.23766E+18,242.0847828,26.80600447,19.44305,18.23332,17.77088,17.54578,17.30258,3927,301,4,99,1.56851E+18,GALAXY,0.03169187,1393,52824,487
1.23765E+18,171.9095841,-2.476759663,19.25742,18.80173,18.99364,19.1739,19.43875,1140,301,3,127,3.67089E+17,STAR,-8.01E-05,326,52375,165
1.23767E+18,221.2928362,14.22915562,15.69044,16.07109,16.60532,16.99738,17.33034,5322,301,3,78,6.15981E+18,STAR,-0.0003074506,5471,56034,46
1.23766E+18,142.0295013,35.67796376,19.41587,18.15214,17.73289,17.50828,17.3958,3606,301,2,120,1.43443E+18,GALAXY,0.05388631,1274,52995,116
1.23767E+18,167.3793311,29.0314515,19.20155,17.49453,16.76098,16.37012,16.09173,5061,301,4,347,2.49173E+18,GALAXY,0.03524341,2213,53792,430
1.23766E+18,234.9079574,30.83784303,19.36715,17.37074,16.37121,15.92646,15.54437,3927,301,4,49,1.56401E+18,GALAXY,0.09766002,1389,53135,484
1.23766E+18,243.5714543,25.94832595,18.49807,16.84863,15.94582,15.46632,15.08135,3927,301,4,109,1.7745E+18,GALAXY,0.06400003,1576,53496,307
1.23766E+18,176.1099489,7.519158137,19.15322,17.40477,16.56933,16.18327,15.86993,3841,301,4,76,1.82514E+18,GALAXY,0.06645162,1621,53383,192
1.23766E+18,194.5507016,7.595579118,19.44064,18.04133,17.22721,16.77599,16.45007,3841,301,4,198,2.01778E+18,GALAXY,0.1261456,1792,54270,594
1.23767E+18,349.362996,19.15403376,18.03823,16.93615,16.53168,16.36271,16.29731,6366,301,4,128,8.56489E+18,STAR,-0.0002023794,7607,56902,620
1.23767E+18,72.12871798,20.87844811,18.89346,17.40636,16.73866,16.42101,16.24447,6003,301,1,195,3.01854E+18,STAR,0.0001050444,2681,54397,20
1.23766E+18,116.6459971,27.56086591,18.95453,17.31941,16.45584,16.06454,15.73799,2777,301,3,51,1.19237E+18,GALAXY,0.0812413,1059,52618,169
1.23766E+18,180.6316053,54.44143679,18.46077,17.38491,16.86481,16.50492,16.38221,2821,301,2,186,1.14507E+18,GALAXY,0.08056057,1017,52706,108
1.23766E+18,182.0923351,54.52816717,18.78891,17.56278,16.87035,16.49809,16.24674,2821,301,2,191,1.1462E+18,GALAXY,0.1351734,1018,52672,112
1.23768E+18,2.114939007,1.516268304,19.08228,18.10613,17.77351,17.62447,17.56927,7712,301,1,343,8.84057E+18,STAR,-7.25E-05,7852,56987,26
1.23768E+18,31.96889622,5.891227951,19.24614,18.36765,18.0493,17.94418,17.88992,7760,301,2,164,8.16965E+18,STAR,0.0004075449,7256,56658,425
1.23768E+18,32.05279293,5.857254871,17.84361,16.27116,15.70148,15.5029,15.4428,7760,301,2,165,2.59641E+18,STAR,-7.71E-05,2306,53726,291
1.23766E+18,184.8864061,54.58092896,18.77424,17.22705,16.33456,15.93312,15.6152,2821,301,2,202,1.14734E+18,GALAXY,0.1178057,1019,52707,169
1.23766E+18,153.0852881,50.00618733,18.99692,18.00012,17.55031,17.24866,17.05125,2821,301,2,70,1.13383E+18,GALAXY,0.04986177,1007,52706,168
1.23766E+18,158.6037051,51.41769584,19.07973,17.19942,16.32127,15.85395,15.42775,2821,301,2,95,1.13607E+18,GALAXY,0.04279803,1009,52644,139
1.23767E+18,261.272024,36.43920392,18.71752,17.09335,16.40921,16.08185,15.93252,5327,301,3,59,3.70659E+18,STAR,-0.0001620323,3292,54943,451
1.23766E+18,210.8529353,7.222747363,19.09156,17.21987,16.53784,16.3074,16.22649,3841,301,5,306,2.05375E+18,STAR,2.00E-05,1824,53491,382
1.23767E+18,121.5517978,43.19503054,18.13697,17.07732,16.68164,16.52921,16.46532,6573,301,6,246,4.92168E+17,STAR,2.30E-05,437,51876,546
1.23767E+18,122.5806011,43.35599544,19.58689,19.31341,19.04557,19.03465,19.10104,6573,301,6,251,4.94293E+17,QSO,1.335263,439,51877,84
1.23767E+18,237.6435208,10.76376159,18.94124,18.03001,17.66418,17.53177,17.4558,5322,301,3,187,5.49677E+18,STAR,0.0004990774,4882,55721,452
1.23767E+18,217.9400015,14.60837816,19.13548,18.55482,17.95603,17.68272,17.63717,5322,301,3,56,6.15425E+18,QSO,1.80268,5466,56033,304
1.23766E+18,242.5296727,43.4581827,19.06716,17.20977,16.27894,15.85819,15.53006,3225,301,4,203,1.31745E+18,GALAXY,0.1120439,1170,52756,539
1.23765E+18,246.7867097,50.4482659,18.62235,16.96509,16.33175,16.07794,15.95395,2207,301,6,22,3.70213E+18,STAR,-0.0007753696,3288,54908,612
1.23767E+18,116.3030825,42.4559804,18.47633,17.30546,17.24116,17.3278,17.37114,6573,301,6,220,9.33395E+18,STAR,-9.28E-05,8290,57364,868
1.23767E+18,278.2710891,22.25795836,19.46832,18.11394,17.53211,17.26986,17.12793,4828,301,6,193,2.86219E+18,STAR,-4.81E-06,2542,53919,564
1.23767E+18,278.9360433,21.98615265,18.60747,17.26507,16.92157,16.81367,16.79658,4828,301,6,198,2.8532E+18,STAR,-0.0003096422,2534,53917,632
1.23766E+18,198.6357523,47.48150985,19.41343,18.10314,17.2207,16.82667,16.56812,3716,301,5,100,1.64504E+18,GALAXY,0.148692,1461,53062,369
1.23766E+18,244.6742287,25.34657645,19.55336,18.34353,17.74331,17.36488,17.21529,3927,301,4,117,1.77333E+18,GALAXY,0.1014757,1575,53493,148
1.23766E+18,238.5960122,28.94094283,18.83662,17.69491,17.2074,16.93991,16.84053,3927,301,4,73,1.56622E+18,GALAXY,0.08389615,1391,52817,337
1.23766E+18,231.9079338,32.42544128,18.74233,17.32225,16.58658,16.16731,15.88391,3927,301,4,29,1.56284E+18,GALAXY,0.07244214,1388,53119,321
1.23765E+18,200.5081031,66.57943527,18.70436,17.43732,16.98066,16.6982,16.52279,1412,301,3,210,5.58488E+17,GALAXY,0.06764524,496,51988,151
1.23766E+18,182.0485574,54.42026221,19.32914,18.42183,18.11385,18.00414,17.94544,2821,301,2,191,7.5301E+18,STAR,-0.00043013,6688,56412,297
1.23767E+18,39.4089705,28.2861327,18.49019,17.23142,17.01336,16.94974,16.96012,5934,301,4,123,3.55572E+18,STAR,-0.0002114776,3158,54794,455
1.23766E+18,65.05037855,30.91715702,18.01983,16.54403,15.89769,15.63642,15.49009,3557,301,4,65,1.40968E+18,STAR,-0.0001402497,1252,52970,178
1.23766E+18,137.9875365,33.68955339,19.19184,18.05866,17.63484,17.35918,17.23936,3606,301,2,94,1.43333E+18,GALAXY,0.06334326,1273,52993,217
1.23767E+18,123.5275377,15.46271119,19.36339,18.59988,17.7727,17.40944,17.22788,5061,301,4,63,2.55591E+18,GALAXY,0.1182179,2270,53714,440
1.23767E+18,134.5031654,20.22915128,18.47616,17.00786,16.36193,15.96628,15.73274,5061,301,4,139,2.57055E+18,GALAXY,0.08044347,2283,53729,442
1.23766E+18,241.8146999,26.91564294,19.20303,17.73631,16.98475,16.56625,16.27378,3927,301,4,97,1.56726E+18,GALAXY,0.1222488,1392,52822,24
1.23766E+18,234.2351626,31.38003161,18.19745,17.45096,17.44417,17.13761,17.17349,3927,301,4,44,1.56276E+18,GALAXY,0.05622,1388,53119,39
1.23766E+18,252.8730257,19.41662352,16.15454,14.30195,13.45793,13.03615,12.71279,3927,301,4,181,1.76546E+18,GALAXY,0.02258195,1568,53169,174
1.23768E+18,355.806906,11.775972,19.04696,17.22144,16.29342,15.8803,15.53091,7773,301,2,283,6.93354E+18,GALAXY,0.09023475,6158,56239,920
1.23766E+18,173.2408044,7.542065092,19.46548,17.68007,16.77691,16.35889,16.02804,3841,301,4,57,1.82294E+18,GALAXY,0.07155412,1619,53084,383
1.23766E+18,175.1982853,7.516194643,17.4498,17.16278,16.90354,16.51114,16.47928,3841,301,4,69,1.82407E+18,QSO,0.1299742,1620,53137,392
1.23766E+18,183.8972746,7.693968192,19.21718,17.20134,16.23444,15.78002,15.44363,3841,301,4,127,1.82861E+18,GALAXY,0.07335922,1624,53386,556
1.23766E+18,184.0187268,7.575288724,19.52641,17.85985,16.92815,16.43853,16.03423,3841,301,4,128,1.82863E+18,GALAXY,0.0737377,1624,53386,600
1.23766E+18,186.1525439,7.540494326,18.43123,17.36957,17.01707,16.73737,16.64182,3841,301,4,142,1.8296E+18,GALAXY,0.04883192,1625,53140,37
1.23766E+18,186.5467259,7.666925971,17.8455,16.25663,15.53013,15.1297,14.86618,3841,301,4,145,1.83076E+18,GALAXY,0.06548726,1626,53472,158
1.23766E+18,209.6198974,6.943111479,18.27416,16.32,15.41089,14.99114,14.66247,3841,301,4,298,2.03575E+18,GALAXY,0.06524521,1808,54176,436
1.23766E+18,236.8899316,29.80950458,18.12514,16.33902,15.49083,15.09037,14.78912,3927,301,4,62,1.56511E+18,GALAXY,0.06222441,1390,53142,407
1.23767E+18,179.6692866,20.80165628,19.1069,18.045,17.63026,17.36608,17.21332,5314,301,6,22,2.93644E+18,GALAXY,0.06758387,2608,54474,322
1.23767E+18,219.8049084,14.35109261,18.75476,17.88537,17.61535,17.5261,17.49298,5322,301,3,68,6.15664E+18,STAR,-0.0001004827,5468,56014,782
1.23766E+18,243.4320545,4.313187809,19.03519,17.47085,16.86022,16.63442,16.49818,3910,301,4,221,2.45238E+18,STAR,-0.0001376987,2178,54629,634
1.23767E+18,37.48922767,25.19873483,18.73422,17.16567,16.59164,16.39303,16.30259,5934,301,4,100,2.67857E+18,STAR,8.05E-05,2379,53762,204
1.23767E+18,245.7298756,16.22025728,18.54832,17.38483,17.426,17.51274,17.60172,4671,301,1,122,2.47828E+18,STAR,-0.0005463992,2201,53904,631
1.23767E+18,237.2727912,20.21127657,19.39344,19.3609,19.0712,19.06577,19.14094,4671,301,1,62,2.44098E+18,QSO,1.276274,2168,53886,120
1.23767E+18,233.358654,21.88861748,17.55606,16.61885,16.30482,16.17072,16.12515,4671,301,1,35,2.43434E+18,STAR,3.98E-05,2162,54207,519
1.23766E+18,215.1374069,-2.539874201,19.12029,18.20783,17.91957,17.80769,17.77281,2379,301,3,40,1.03249E+18,STAR,-0.0003519164,917,52400,142
1.23767E+18,126.2898332,43.21669134,19.25958,18.25898,17.78684,17.38661,17.24149,6573,301,5,269,7.18328E+18,GALAXY,0.1048141,6380,56340,134
1.23766E+18,126.3041285,36.51116911,18.66021,17.51186,17.0628,16.79228,16.57501,2777,301,3,132,9.31202E+17,GALAXY,0.03871051,827,52312,300
1.23766E+18,175.1630695,54.17131963,19.47248,18.41926,17.88866,17.58638,17.38805,2821,301,2,164,1.14167E+18,GALAXY,0.1329853,1014,52707,24
1.23766E+18,123.6115565,39.75072131,18.78938,17.55794,17.09592,16.77179,16.62396,2243,301,4,53,8.55758E+17,GALAXY,0.0922523,760,52264,270
1.23766E+18,228.3210144,10.35710433,19.04752,18.1619,17.86432,17.75147,17.722,3836,301,6,524,6.18019E+18,STAR,0.0003146183,5489,55990,462
1.23768E+18,32.08622332,5.880320055,18.92804,17.22284,16.53706,16.25021,16.10866,7760,301,2,165,8.16965E+18,STAR,-0.0005899562,7256,56658,437
1.23766E+18,180.4088617,3.81310837,17.68916,15.97373,15.15367,14.68167,14.36919,2247,301,1,131,9.46894E+17,QSO,0.07351141,841,52375,44
1.23767E+18,328.9686065,45.82025731,17.62808,16.22809,15.67356,15.46072,15.33882,6162,301,3,413,2.8779E+18,STAR,-1.71E-05,2556,54000,381
1.23767E+18,206.6727234,27.98447852,18.91508,17.70307,17.18829,16.90742,16.73602,4649,301,3,153,2.27095E+18,GALAXY,0.05215954,2017,53474,29
1.23767E+18,227.2629931,22.82092904,19.4671,18.08357,17.47875,17.11662,16.86022,4649,301,3,282,2.42638E+18,GALAXY,0.05537536,2155,53820,248
1.23768E+18,333.8096033,18.80400587,17.95819,17.02071,16.71356,16.56499,16.54563,8108,301,2,76,8.53219E+18,STAR,-0.001044066,7578,56956,442
1.23766E+18,184.4518167,8.067493753,18.60691,17.68143,17.39201,17.25983,17.2394,3841,301,5,131,6.07544E+18,STAR,0.0005813229,5396,55947,290
1.23766E+18,18.8171313,-1.100238298,18.67509,17.34374,16.79945,16.59283,16.41042,4263,301,1,241,4.46984E+17,GALAXY,0.01886455,397,51794,8
1.23767E+18,113.5141016,41.82214331,17.92193,16.79427,16.44464,16.33578,16.29477,6573,301,6,206,3.02091E+18,STAR,6.58E-05,2683,54153,444
1.23767E+18,278.7778423,22.18253006,18.97169,17.54306,16.9096,16.60918,16.42567,4828,301,6,196,2.8532E+18,STAR,-0.0007636715,2534,53917,601
1.23766E+18,195.7881427,54.61656142,17.85149,16.06994,15.29629,14.91149,14.60756,3103,301,4,198,1.16995E+18,GALAXY,0.02833694,1039,52707,516
1.23766E+18,356.2881436,-0.6208812136,19.09501,17.53856,16.80602,16.41977,16.2337,2662,301,2,258,4.33474E+17,GALAXY,0.08048058,385,51783,8
1.23766E+18,36.06770202,-1.186089115,19.48022,18.48599,18.12675,17.8621,17.78727,4263,301,1,356,1.207E+18,GALAXY,0.0586592,1072,52643,123
1.23767E+18,55.27816658,0.7694279971,18.54499,18.09984,18.09494,18.05,18.12387,4849,301,5,824,4.685E+17,QSO,0.6335998,416,51811,457
1.23766E+18,215.7572065,44.06263902,18.549,17.07647,16.29774,15.8983,15.62106,3716,301,5,183,1.56968E+18,GALAXY,0.1325814,1394,53108,629
1.23767E+18,38.18401979,26.0796527,18.05495,17.02838,16.55621,16.34023,16.26753,5934,301,4,107,2.67865E+18,STAR,0.0005534036,2379,53762,495
1.23766E+18,9.289211993,-1.188366138,19.22952,18.09769,17.77046,17.59021,17.48909,4263,301,1,178,7.76931E+17,GALAXY,0.01360298,690,52261,218
1.23766E+18,344.5440005,-0.2452927187,19.14868,18.08984,17.59496,17.22668,17.00759,4192,301,3,253,7.61115E+17,GALAXY,0.1391758,676,52178,24
1.23766E+18,342.0638623,-0.2327397771,19.46911,17.99198,17.06131,16.59036,16.26606,4192,301,3,236,7.60001E+17,GALAXY,0.1467237,675,52590,68
1.23766E+18,244.3194163,25.53237474,19.27543,17.98719,16.92439,16.43157,16.10762,3927,301,4,114,1.77449E+18,GALAXY,0.1455759,1576,53496,252
1.23766E+18,134.3248066,31.69318795,17.48753,16.22753,15.72538,15.38773,15.20647,3606,301,2,69,1.43103E+18,GALAXY,0.06435495,1271,52974,44
1.23767E+18,166.8275465,28.78690084,18.6528,17.50354,17.0413,16.81493,16.84114,5061,301,4,343,2.48952E+18,GALAXY,0.03436773,2211,53786,558
1.23768E+18,20.37083812,11.45013339,18.48399,17.59546,17.25394,17.031,16.70826,7773,301,2,443,1.24683E+19,QSO,2.492275,11074,58488,232
1.23766E+18,251.4169623,20.54973146,18.61127,16.84958,15.98413,15.49771,15.13091,3927,301,4,169,4.70991E+18,GALAXY,0.08181734,4183,55447,980
1.23766E+18,253.4350873,18.99966312,18.26101,16.19948,15.37064,15.04637,14.92297,3927,301,4,186,1.76543E+18,STAR,-0.0001151185,1568,53169,58
1.23767E+18,31.70647681,14.21718916,19.28366,17.55281,16.66409,16.24316,15.93647,5934,301,5,18,4.80924E+17,GALAXY,0.1090489,427,51900,600
1.23767E+18,39.98552441,29.39474971,19.10526,18.07667,17.63217,17.42286,17.32389,5934,301,4,132,2.7496E+18,STAR,-0.000723939,2442,54065,537
1.23767E+18,245.2494985,16.48140571,17.10095,16.15227,15.86879,15.7305,15.73319,4671,301,1,118,2.45109E+18,STAR,-0.0009507311,2177,54557,32
1.23766E+18,214.5513669,-2.504555732,19.32994,18.36031,18.04727,17.91241,17.85185,2379,301,3,36,4.53976E+18,STAR,0.0004956676,4032,55333,463
1.23766E+18,229.7478772,33.31677447,17.75985,15.81423,14.90736,14.48727,14.17983,3927,301,4,15,1.56053E+18,GALAXY,0.06829368,1386,53116,112
1.23766E+18,242.8521517,26.27195441,19.52698,17.62607,16.70704,16.2589,15.91606,3927,301,4,104,1.56842E+18,GALAXY,0.07583245,1393,52824,156
1.23766E+18,181.3571323,51.10309872,19.31343,17.21467,16.39612,15.95865,15.66334,2964,301,6,306,1.09112E+18,GALAXY,0.06813417,969,52442,447
1.23767E+18,123.4338381,42.14058367,18.858,17.79022,17.41329,17.10297,16.98288,6573,301,3,254,6.14784E+17,GALAXY,0.06452066,546,52205,154
1.23766E+18,169.5463565,7.382004206,19.03104,17.52583,16.56656,16.10422,15.83872,3841,301,4,32,1.82071E+18,QSO,0.1681959,1617,53112,472
1.23766E+18,199.8013693,7.347288443,18.12247,16.82023,16.33806,16.07236,15.91353,3841,301,4,232,2.02341E+18,GALAXY,0.05111524,1797,54507,599
1.23766E+18,137.1873485,43.59688473,19.19234,17.658,16.77064,16.33491,16.03147,2777,301,3,205,9.35791E+17,GALAXY,0.1769563,831,52294,611
